id,電話番号,家賃,管理費_共益費,敷金,礼金,保証金,敷引_償却,所在地,駅徒歩,間取り,専有面積,築年数,階,向き,建物種別,間取り詳細,構造,階建,築年月,エネルギー消費性能,断熱性能,目安光熱費,損保,駐車場,入居,取引態様,条件,取り扱い店舗物件コード,SUUMO物件コード,総戸数,情報更新日,次回更新日,契約期間,保証会社,ほか諸費用,備考,create_at
1402,0800-1237819,11.2万円,10000円,-,-,-,-,大阪府大阪市淀川区宮原１,"地下鉄御堂筋線/東三国駅 歩4分
地下鉄御堂筋線/新大阪駅 歩5分
ＪＲ東海道本線/新大阪駅 歩8分",1DK,29.14m2,築5年,4階,東,マンション,洋3.8 DK7.6,鉄筋コン,4階/15階建,2021年3月,-,-,-,1.8万円2年,-,即,仲介,二人入居可/ペット相談,HC2-3127098-404-0245,100435616778,84戸,2025/09/02,次回更新日は情報更新日より１５日以内,,保証会社利用必 月額総賃料の20％/契約時　月額総賃料の1％/月,,鍵交換代 16500円 PREGIO CLUB24 20000円 退去時クリーニング費用30800円 ペット飼育時共益費3000円増額且つ敷金1ヶ月要,2025-09-03 11:02:34
1403,078-855-9599,11.5万円,10000円,-,-,-,-,大阪府大阪市淀川区宮原１,"地下鉄御堂筋線/東三国駅 歩4分
ＪＲおおさか東線/新大阪駅 歩5分
ＪＲ東海道本線/東淀川駅 歩9分",1DK,35.08m2,築5年,8階,-,マンション,洋6.5 DK7.1,鉄筋コン,8階/15階建,2021年3月,-,-,-,要,近隣200m22000円,即,仲介,単身者可/二人入居可/ペット相談,181533,100423657958,84戸,2025/09/02,次回更新日は情報更新日より１５日以内,普通借家 2年,保証会社利用必 指定保証会社加入要,,巡回管理,2025-09-03 11:02:36
1404,078-855-9599,11.8万円,10000円,-,-,-,-,大阪府大阪市淀川区宮原１,"地下鉄御堂筋線/東三国駅 歩4分
ＪＲおおさか東線/新大阪駅 歩5分
ＪＲ東海道本線/東淀川駅 歩9分",1DK,35.08m2,築5年,12階,-,マンション,洋6.5 DK7.1,鉄筋コン,12階/15階建,2021年3月,-,-,-,-,近隣200m22000円,即,仲介,単身者可/二人入居可/ペット相談,199266,100440234841,84戸,2025/09/02,次回更新日は情報更新日より１５日以内,普通借家 2年,保証会社利用必 指定保証会社加入要,,巡回管理,2025-09-03 11:02:39
1405,072-825-0288,12万円,10000円,-,-,-,-,大阪府大阪市淀川区宮原１,"地下鉄御堂筋線/新大阪駅 歩5分
地下鉄御堂筋線/東三国駅 歩4分
ＪＲ東海道本線/東淀川駅 歩11分",1DK,35.08m2,築5年,8階,西,マンション,洋6.5 LDK7.1,鉄筋コン,8階/15階建,2021年3月,-,-,-,要,-,即,仲介,二人入居可/ペット相談,110884042,100455697442,84戸,2025/09/02,次回更新日は情報更新日より８日以内,,保証会社利用必 個人初回２０％　更新料１％／月,,［退去時費用　ハウスクリーニング代：３０，８００円※故意・過失等別途実費］早期解約違約金：共込賃料１ヶ月分（１年未満）　保証会社:エポスカード,2025-09-03 11:03:41
1406,072-825-0288,12.4万円,10000円,-,-,-,-,大阪府大阪市淀川区宮原１,"地下鉄御堂筋線/新大阪駅 歩5分
地下鉄御堂筋線/東三国駅 歩4分
ＪＲ東海道本線/東淀川駅 歩11分",1DK,35.08m2,築5年,12階,西,マンション,洋6.5 LDK7.1,鉄筋コン,12階/15階建,2021年3月,-,-,-,要,-,即,仲介,二人入居可/ペット相談,110884056,100455697508,84戸,2025/09/02,次回更新日は情報更新日より８日以内,,保証会社利用必 個人初回２０％　更新料１％／月,,［退去時費用　ハウスクリーニング代：３０，８００円※故意・過失等別途実費］早期解約違約金：共込賃料１ヶ月分（１年未満）　保証会社:エポスカード,2025-09-03 11:02:46
1407,0800-1237819,12.5万円,15000円,-,12.5万円,-,-,大阪府大阪市淀川区宮原１,"地下鉄御堂筋線/東三国駅 歩4分
地下鉄御堂筋線/新大阪駅 歩5分
ＪＲ東海道本線/新大阪駅 歩8分",1LDK,38.94m2,築5年,4階,東,マンション,洋5.7 LDK11.4,鉄筋コン,4階/15階建,2021年3月,-,-,-,2万円2年,-,25年9月下旬,仲介,二人入居可/ペット相談,HC2-3127098-405-0245,100456355214,84戸,2025/09/02,次回更新日は情報更新日より１５日以内,,保証会社利用必 月額総賃料の20％/契約時　月額総賃料の1％/月,,鍵交換代 16500円 PREGIO CLUB24 20000円 退去時ハウスクリーニング費用38500円 ペット飼育時共益費3000円且つ敷金1ヶ月分必要,2025-09-03 11:04:48
1408,0800-1237805,13.6万円,15000円,-,-,-,-,大阪府大阪市淀川区宮原１,"地下鉄御堂筋線/東三国駅 歩4分
地下鉄御堂筋線/新大阪駅 歩5分
ＪＲ東海道本線/新大阪駅 歩8分",1LDK,41.52m2,築5年,2階,西,マンション,洋5.8 LDK11.5,鉄筋コン,2階/15階建,2021年3月,-,-,-,2万円2年,-,即,仲介,ペット相談,HC2-3127098-203-0246,100435699223,84戸,2025/09/03,次回更新日は情報更新日より１５日以内,,保証会社利用必 月額総賃料の20％/契約時　月額総賃料の1％/月,駐輪場550円／月,PREGIO CLUB24 20000円 鍵交換代 16500円 退去時ハウスクリーニング代38500円 ペット可（小型犬・猫1匹）共益費3000円増額且つ敷金1ヶ月要,2025-09-03 11:02:59
1409,0800-1237819,13.7万円,15000円,-,13.7万円,-,-,大阪府大阪市淀川区宮原１,"地下鉄御堂筋線/東三国駅 歩4分
地下鉄御堂筋線/新大阪駅 歩5分
ＪＲ東海道本線/新大阪駅 歩8分",1LDK,41.52m2,築5年,4階,西,マンション,洋5.8 LDK11.5,鉄筋コン,4階/15階建,2021年3月,-,-,-,2万円2年,-,25年9月下旬,仲介,二人入居可/ペット相談,HC2-3127098-402-0245,100456355245,84戸,2025/09/02,次回更新日は情報更新日より１５日以内,,保証会社利用必 月額総賃料の20％/契約時　月額総賃料の1％/月,,鍵交換代 16500円 PREGIO CLUB24 20000円 退去時ハウスクリーニング費用38500円 ペット飼育時共益費3000円追加且つ敷金1ヶ月分必要,2025-09-03 11:03:03
1410,06-6455-5800,13.9万円,15000円,-,13.9万円,-,-,大阪府大阪市淀川区宮原１,"地下鉄御堂筋線/東三国駅 歩7分
地下鉄御堂筋線/新大阪駅 歩7分
ＪＲ東海道本線/新大阪駅 歩9分",1LDK,41.52m2,築5年,6階,西,マンション,-,鉄筋コン,6階/15階建,2021年3月,-,-,-,要,-,相談,仲介,子供可/ペット相談/楽器相談,247565 589658,100441612514,-,2025/09/02,次回更新日は情報更新日より１５日以内,,,,,2025-09-03 11:05:03
1411,06-6886-7933,14万円,15000円,-,-,-,-,大阪府大阪市淀川区宮原１,"地下鉄御堂筋線/新大阪駅 歩6分
ＪＲ東海道本線/新大阪駅 歩6分
地下鉄御堂筋線/東三国駅 歩4分",1LDK,41.52m2,築5年,6階,西,マンション,洋5.8 LDK11.5,鉄筋コン,6階/15階建,2021年3月,-,-,-,2万円2年,-,即,仲介,二人入居可/ペット相談,s1010371676,100450717261,-,2025/09/02,次回更新日は情報更新日より８日以内,普通借家 2年,保証会社利用必 初回20％、更新料1％/月 審査内容により変動あり,,駐輪場550円、原付2 750円、バイク5 500円各月額、小型犬/猫1頭飼育可※共益費3 000円増+敷金1か月分　火災保険1DKタイプ【18 000円】、1LDKタイプ【20 000円】　退去時クリーニング代1DK【30 800円】1LDK【38 500円】,2025-09-03 11:04:11
1412,06-6476-7588,14万円,15000円,-,14万円,-,-,大阪府大阪市淀川区宮原１,"地下鉄御堂筋線/東三国駅 歩4分
ＪＲ東海道本線/新大阪駅 歩5分
地下鉄御堂筋線/新大阪駅 歩5分",1LDK,38.94m2,築5年,4階,東,マンション,洋5.7 LDK11.4,鉄筋コン,4階/15階建,2021年3月,-,-,-,要,近隣200m27500円,即,仲介,単身者可/二人入居可/ペット相談,48174564,100457083962,84戸,2025/09/02,次回更新日は情報更新日より１５日以内,普通借家 2年,,,東海道本線東淀川駅徒歩10分/ミニストップ東三国駅前店まで531m/スギ薬局新大阪宮原店まで312m/巡回管理/◆賃貸専門店のホームメイト◆当店では、ベテランスタッフが安心して新生活を送って頂けますよう精一杯のサポートを致します。ご内見の際は、現地集合やお問い合わせ物件の最寄り駅集合も可能です♪初期費用のクレジット決済も当店は可能ですので、ご利用の際はスタッフまでお申し付け下さいませ（＾ｏ＾）／,2025-09-03 11:04:15
1413,06-6377-2455,14.1万円,15000円,-,14.1万円,-,-,大阪府大阪市淀川区宮原１,"地下鉄御堂筋線/新大阪駅 歩5分
地下鉄御堂筋線/東三国駅 歩4分
ＪＲ東海道本線/東淀川駅 歩10分",1LDK,41.52m2,築5年,12階,西,マンション,洋5.8 LDK11.5,鉄筋コン,12階/15階建,2021年3月,-,-,-,1.8万円2年,-,即,仲介,単身者可/二人入居可/子供可/ペット相談,-,100429043958,84戸,2025/09/01,次回更新日は情報更新日より８日以内,普通借家 2年,保証会社利用必 エポス・初回保証料：総賃料の20％　更新料：月1％,退去時ルームクリーニング代：38500円（税込）  バイク置き場：5500円(税込)/月  原付置き場：2200円(税込)/月  駐輪場代：550円(税込)/月  ペット飼育時：共益費+3000円UP+敷金1ヶ月分要,巡回管理,2025-09-03 11:03:24
1414,06-6476-7588,14.5万円,15000円,-,14.5万円,-,-,大阪府大阪市淀川区宮原１,"地下鉄御堂筋線/東三国駅 歩4分
ＪＲ東海道本線/新大阪駅 歩5分
地下鉄御堂筋線/新大阪駅 歩5分",1LDK,41.52m2,築5年,4階,西,マンション,洋5.8 LDK11.5,鉄筋コン,4階/15階建,2021年3月,-,-,-,要,近隣200m27500円,即,仲介,単身者可/二人入居可/ペット相談,48179199,100457083959,84戸,2025/09/02,次回更新日は情報更新日より１５日以内,普通借家 2年,,,東海道本線東淀川駅徒歩10分/ミニストップ東三国駅前店まで531m/スギ薬局新大阪宮原店まで312m/巡回管理/◆賃貸専門店のホームメイト◆当店では、ベテランスタッフが安心して新生活を送って頂けますよう精一杯のサポートを致します。ご内見の際は、現地集合やお問い合わせ物件の最寄り駅集合も可能です♪初期費用のクレジット決済も当店は可能ですので、ご利用の際はスタッフまでお申し付け下さいませ（＾ｏ＾）／,2025-09-03 11:04:26
1415,0800-1237819,15万円,15000円,-,-,-,-,大阪府大阪市淀川区宮原１,"地下鉄御堂筋線/東三国駅 歩4分
地下鉄御堂筋線/新大阪駅 歩5分
ＪＲ東海道本線/新大阪駅 歩8分",1LDK,41.52m2,築5年,6階,西,マンション,洋5.8 LDK11.5,鉄筋コン,6階/15階建,2021年3月,-,-,-,2万円2年,-,即,仲介,二人入居可/ペット相談,HC2-3127098-602-0245,100440805638,84戸,2025/09/02,次回更新日は情報更新日より１５日以内,,保証会社利用必 個人初回20％　更新料1％/月,駐輪場550円／月,鍵交換代 16500円 PREGIO CLUB24 20000円 退去時ハウスクリーニング代38500円 ペット可（小型犬・猫1匹）共益費3000円増かつ敷金1ヶ月要,2025-09-03 11:03:32
1416,0120-905401,6.5万円,5580円,-,-,-,-,大阪府大阪市淀川区木川東１,"阪急神戸線/十三駅 歩14分
地下鉄御堂筋線/西中島南方駅 歩10分
阪急京都線/南方駅 歩10分",1K,21.7m2,新築,2階,西,マンション,洋6.1,鉄筋コン,2階/10階建,2026年1月,-,-,-,1万円1年,敷地内19000円,26年1月下旬,仲介,単身者可/ペット相談,22989,100455406366,-,2025/09/02,次回更新日は情報更新日より８日以内,普通借家 2年,全保連利用必 初回：総賃料の60％,,オンライン内覧やWEB契約など、ご来店なしで契約ができます★関西圏のお部屋探しはRoom Heartsまで♪,2025-09-03 11:04:33
1417,06-6377-5050,6.5万円,5640円,-,-,-,-,大阪府大阪市淀川区木川東１,"地下鉄御堂筋線/西中島南方駅 歩11分
阪急京都線/南方駅 歩11分
阪急神戸線/十三駅 歩14分",1K,21.95m2,新築,2階,西,マンション,洋6.1,鉄筋コン,2階/10階建,2026年1月,-,-,-,1万円1年,-,26年1月下旬,仲介,単身者可/子供不可/ペット相談/事務所利用不可/ルームシェア不可,9936176,100454752559,-,2025/09/02,次回更新日は情報更新日より８日以内,普通借家 2年,全保連利用必 初回保証料：総賃料の60％ 更新料：10.000円/年　引落手数料：330円（税込）V,更新料　賃料11000.00ヶ月分,,2025-09-03 11:03:38
1418,0120-826150,6.5万円,5640円,-,-,-,-,大阪府大阪市淀川区木川東１,"地下鉄御堂筋線/西中島南方駅 歩14分
阪急京都線/南方駅 歩13分
阪急神戸線/十三駅 歩18分",1K,21.7m2,新築,2階,西,マンション,洋6.1,鉄筋コン,2階/10階建,2026年1月,-,-,-,要,-,26年1月下旬,仲介,ペット相談,67249920,100455277206,-,2025/09/02,次回更新日は情報更新日より８日以内,,,,☆お部屋探しでのお悩みはエイブルネットワーク新大阪北店へ、ご相談くださいませ☆現地での待ち合わせ、主要駅までのお出迎えサービスなどもございます☆初期費用の相見積もりサービスも実施中☆日本最大級を誇るネットワークの情報量で、経験豊富なスタッフが一生懸命お応えいたします☆カフェ風の広々としたスペースでゆっくりお部屋探しができます☆オンラインでの相談や内覧も対応しております☆全てはお客様の為に♪,2025-09-03 11:03:45
1419,06-6373-0505,6.55万円,5580円,-,-,-,-,大阪府大阪市淀川区木川東１,"地下鉄御堂筋線/西中島南方駅 歩11分
阪急京都線/南方駅 歩11分
阪急神戸線/十三駅 歩14分",1K,21.7m2,新築,4階,西,マンション,洋6.1,鉄筋コン,4階/10階建,2026年1月,-,-,-,1万円1年,-,26年1月下旬,仲介,単身者可/子供不可/ペット相談/事務所利用不可/ルームシェア不可,9961564,100458057758,-,2025/09/02,次回更新日は情報更新日より８日以内,普通借家 2年,全保連利用必 初回保証料：総賃料の60％ 更新料：10.000円/年　引落手数料：330円（税込）,更新料　賃料11000.00ヶ月分,,2025-09-03 11:04:50
1420,06-6373-0505,6.55万円,5580円,-,-,-,-,大阪府大阪市淀川区木川東１,"地下鉄御堂筋線/西中島南方駅 歩11分
阪急京都線/南方駅 歩11分
阪急神戸線/十三駅 歩14分",1K,21.7m2,新築,3階,西,マンション,洋6.1,鉄筋コン,3階/10階建,2026年1月,-,-,-,1万円1年,-,26年1月下旬,仲介,単身者可/子供不可/ペット相談/事務所利用不可/ルームシェア不可,9961565,100458057755,-,2025/09/02,次回更新日は情報更新日より８日以内,普通借家 2年,全保連利用必 初回保証料：総賃料の60％ 更新料：10.000円/年　引落手数料：330円（税込）,更新料　賃料11000.00ヶ月分,,2025-09-03 11:04:56
1421,06-6373-0505,6.55万円,5640円,-,-,-,-,大阪府大阪市淀川区木川東１,"地下鉄御堂筋線/西中島南方駅 歩11分
阪急京都線/南方駅 歩11分
阪急神戸線/十三駅 歩14分",1K,21.95m2,新築,3階,西,マンション,洋6.1,鉄筋コン,3階/10階建,2026年1月,-,-,-,1万円1年,-,26年1月下旬,仲介,単身者可/子供不可/ペット相談/事務所利用不可/ルームシェア不可,9961536,100458057647,-,2025/09/02,次回更新日は情報更新日より８日以内,普通借家 2年,全保連利用必 初回保証料：総賃料の60％ 更新料：10.000円/年　引落手数料：330円（税込）V,更新料　賃料11000.00ヶ月分,,2025-09-03 11:04:59
1422,06-6373-0505,6.55万円,5640円,-,-,-,-,大阪府大阪市淀川区木川東１,"地下鉄御堂筋線/西中島南方駅 歩11分
阪急京都線/南方駅 歩11分
阪急神戸線/十三駅 歩14分",1K,21.95m2,新築,4階,西,マンション,洋6.1,鉄筋コン,4階/10階建,2026年1月,-,-,-,1万円1年,-,26年1月下旬,仲介,単身者可/子供不可/ペット相談/事務所利用不可/ルームシェア不可,9961535,100458057650,-,2025/09/02,次回更新日は情報更新日より８日以内,普通借家 2年,全保連利用必 初回保証料：総賃料の60％ 更新料：10.000円/年　引落手数料：330円（税込）V,更新料　賃料11000.00ヶ月分,,2025-09-03 11:04:18
1423,06-6373-0505,6.6万円,5580円,-,-,-,-,大阪府大阪市淀川区木川東１,"地下鉄御堂筋線/西中島南方駅 歩11分
阪急京都線/南方駅 歩11分
阪急神戸線/十三駅 歩14分",1K,21.7m2,新築,6階,西,マンション,洋6.1,鉄筋コン,6階/10階建,2026年1月,-,-,-,1万円1年,-,26年1月下旬,仲介,単身者可/子供不可/ペット相談/事務所利用不可/ルームシェア不可,9961533,100458057657,-,2025/09/02,次回更新日は情報更新日より８日以内,普通借家 2年,全保連利用必 初回保証料：総賃料の60％ 更新料：10.000円/年　引落手数料：330円（税込）,更新料　賃料11000.00ヶ月分,,2025-09-03 11:04:23
1424,06-6373-0505,6.6万円,5580円,-,-,-,-,大阪府大阪市淀川区木川東１,"地下鉄御堂筋線/西中島南方駅 歩11分
阪急京都線/南方駅 歩11分
阪急神戸線/十三駅 歩14分",1K,21.7m2,新築,5階,西,マンション,洋6.1,鉄筋コン,5階/10階建,2026年1月,-,-,-,1万円1年,-,26年1月下旬,仲介,単身者可/子供不可/ペット相談/事務所利用不可/ルームシェア不可,9961534,100458057652,-,2025/09/02,次回更新日は情報更新日より８日以内,普通借家 2年,全保連利用必 初回保証料：総賃料の60％ 更新料：10.000円/年　引落手数料：330円（税込）,更新料　賃料11000.00ヶ月分,,2025-09-03 11:04:28
1425,06-6373-0505,6.6万円,5640円,-,-,-,-,大阪府大阪市淀川区木川東１,"地下鉄御堂筋線/西中島南方駅 歩11分
阪急京都線/南方駅 歩11分
阪急神戸線/十三駅 歩14分",1K,21.95m2,新築,5階,西,マンション,洋6.1,鉄筋コン,5階/10階建,2026年1月,-,-,-,1万円1年,-,26年1月下旬,仲介,単身者可/子供不可/ペット相談/事務所利用不可/ルームシェア不可,9961560,100458057742,-,2025/09/02,次回更新日は情報更新日より８日以内,普通借家 2年,全保連利用必 初回保証料：総賃料の60％ 更新料：10.000円/年　引落手数料：330円（税込）V,更新料　賃料11000.00ヶ月分,,2025-09-03 11:04:36
1426,06-6373-0505,6.6万円,5640円,-,-,-,-,大阪府大阪市淀川区木川東１,"地下鉄御堂筋線/西中島南方駅 歩11分
阪急京都線/南方駅 歩11分
阪急神戸線/十三駅 歩14分",1K,21.95m2,新築,6階,西,マンション,洋6.1,鉄筋コン,6階/10階建,2026年1月,-,-,-,1万円1年,-,26年1月下旬,仲介,単身者可/子供不可/ペット相談/事務所利用不可/ルームシェア不可,9961559,100458057710,-,2025/09/02,次回更新日は情報更新日より８日以内,普通借家 2年,全保連利用必 初回保証料：総賃料の60％ 更新料：10.000円/年　引落手数料：330円（税込）V,更新料　賃料11000.00ヶ月分,,2025-09-03 11:05:35
1427,06-6373-0505,6.65万円,5580円,-,-,-,-,大阪府大阪市淀川区木川東１,"地下鉄御堂筋線/西中島南方駅 歩11分
阪急京都線/南方駅 歩11分
阪急神戸線/十三駅 歩14分",1K,21.7m2,新築,7階,西,マンション,洋6.1,鉄筋コン,7階/10階建,2026年1月,-,-,-,1万円1年,-,26年1月下旬,仲介,単身者可/子供不可/ペット相談/事務所利用不可/ルームシェア不可,9961546,100458057682,-,2025/09/02,次回更新日は情報更新日より８日以内,普通借家 2年,全保連利用必 初回保証料：総賃料の60％ 更新料：10.000円/年　引落手数料：330円（税込）,更新料　賃料11000.00ヶ月分,,2025-09-03 11:04:44
1428,06-6373-0505,6.65万円,5580円,-,-,-,-,大阪府大阪市淀川区木川東１,"地下鉄御堂筋線/西中島南方駅 歩11分
阪急京都線/南方駅 歩11分
阪急神戸線/十三駅 歩14分",1K,21.7m2,新築,8階,西,マンション,洋6.1,鉄筋コン,8階/10階建,2026年1月,-,-,-,1万円1年,-,26年1月下旬,仲介,単身者可/子供不可/ペット相談/事務所利用不可/ルームシェア不可,9961545,100458057686,-,2025/09/02,次回更新日は情報更新日より８日以内,普通借家 2年,全保連利用必 初回保証料：総賃料の60％ 更新料：10.000円/年　引落手数料：330円（税込）,更新料　賃料11000.00ヶ月分,,2025-09-03 11:04:53
1429,06-6373-0505,6.65万円,5640円,-,-,-,-,大阪府大阪市淀川区木川東１,"地下鉄御堂筋線/西中島南方駅 歩11分
阪急京都線/南方駅 歩11分
阪急神戸線/十三駅 歩14分",1K,21.95m2,新築,8階,西,マンション,洋6.1,鉄筋コン,8階/10階建,2026年1月,-,-,-,1万円1年,-,26年1月下旬,仲介,単身者可/子供不可/ペット相談/事務所利用不可/ルームシェア不可,9961557,100458057716,-,2025/09/02,次回更新日は情報更新日より８日以内,普通借家 2年,全保連利用必 初回保証料：総賃料の60％ 更新料：10.000円/年　引落手数料：330円（税込）V,更新料　賃料11000.00ヶ月分,,2025-09-03 11:05:06
1430,06-6373-0505,6.65万円,5640円,-,-,-,-,大阪府大阪市淀川区木川東１,"地下鉄御堂筋線/西中島南方駅 歩11分
阪急京都線/南方駅 歩11分
阪急神戸線/十三駅 歩14分",1K,21.95m2,新築,7階,西,マンション,洋6.1,鉄筋コン,7階/10階建,2026年1月,-,-,-,1万円1年,-,26年1月下旬,仲介,単身者可/子供不可/ペット相談/事務所利用不可/ルームシェア不可,9961558,100458057714,-,2025/09/02,次回更新日は情報更新日より８日以内,普通借家 2年,全保連利用必 初回保証料：総賃料の60％ 更新料：10.000円/年　引落手数料：330円（税込）V,更新料　賃料11000.00ヶ月分,,2025-09-03 11:05:07
1431,06-6373-0505,6.7万円,5580円,-,-,-,-,大阪府大阪市淀川区木川東１,"地下鉄御堂筋線/西中島南方駅 歩11分
阪急京都線/南方駅 歩11分
阪急神戸線/十三駅 歩14分",1K,21.7m2,新築,9階,西,マンション,洋6.1,鉄筋コン,9階/10階建,2026年1月,-,-,-,1万円1年,-,26年1月下旬,仲介,単身者可/子供不可/ペット相談/事務所利用不可/ルームシェア不可,9961544,100458057688,-,2025/09/02,次回更新日は情報更新日より８日以内,普通借家 2年,全保連利用必 初回保証料：総賃料の60％ 更新料：10.000円/年　引落手数料：330円（税込）,更新料　賃料11000.00ヶ月分,,2025-09-03 11:05:13
1432,06-6373-0505,6.7万円,5640円,-,-,-,-,大阪府大阪市淀川区木川東１,"地下鉄御堂筋線/西中島南方駅 歩11分
阪急京都線/南方駅 歩11分
阪急神戸線/十三駅 歩14分",1K,21.95m2,新築,9階,西,マンション,洋6.1,鉄筋コン,9階/10階建,2026年1月,-,-,-,1万円1年,-,26年1月下旬,仲介,単身者可/子供不可/ペット相談/事務所利用不可/ルームシェア不可,9961556,100458057719,-,2025/09/02,次回更新日は情報更新日より８日以内,普通借家 2年,全保連利用必 初回保証料：総賃料の60％ 更新料：10.000円/年　引落手数料：330円（税込）V,更新料　賃料11000.00ヶ月分,,2025-09-03 11:05:15
1433,06-6373-0505,6.75万円,5580円,-,-,-,-,大阪府大阪市淀川区木川東１,"地下鉄御堂筋線/西中島南方駅 歩11分
阪急京都線/南方駅 歩11分
阪急神戸線/十三駅 歩14分",1K,21.7m2,新築,10階,西,マンション,洋6.1,鉄筋コン,10階/10階建,2026年1月,-,-,-,1万円1年,-,26年1月下旬,仲介,単身者可/子供不可/ペット相談/事務所利用不可/ルームシェア不可,9961543,100458057691,-,2025/09/02,次回更新日は情報更新日より８日以内,普通借家 2年,全保連利用必 初回保証料：総賃料の60％ 更新料：10.000円/年　引落手数料：330円（税込）,更新料　賃料11000.00ヶ月分,,2025-09-03 11:06:16
1434,06-6821-2320,6.75万円,5640円,-,-,-,-,大阪府大阪市淀川区木川東１,"地下鉄御堂筋線/西中島南方駅 歩10分
阪急京都線/南方駅 歩11分
阪急京都線/十三駅 歩13分",1K,21.95m2,新築,10階,西,マンション,洋6.1,鉄筋コン,10階/10階建,2026年1月,-,-,-,1万円1年,敷地内19000円,26年1月下旬,仲介,ペット相談,12496691,100456270024,-,2025/09/03,次回更新日は情報更新日より１５日以内,普通借家 2年,全保連利用必 初回契約時：60％、更新時：10，000円、引落手数料330円/月,ハウスクリーニング　27500円／退去時　更新料　11000円,Osaka Metro御堂筋線 中津駅徒歩16分,2025-09-03 11:05:23
1435,078-855-9599,7.75万円,6690円,-,-,-,-,大阪府大阪市淀川区木川東１,"地下鉄御堂筋線/西中島南方駅 歩10分
阪急京都線/南方駅 歩10分
阪急神戸線/十三駅 歩13分",1DK,26.06m2,新築,2階,西,マンション,洋3.2 DK6.2,鉄筋コン,2階/10階建,2026年1月,-,-,-,-,敷地内19000円,26年1月下旬,仲介,単身者可/二人入居可/ペット相談,158954,100455076591,45戸,2025/09/02,次回更新日は情報更新日より１５日以内,普通借家 2年,保証会社利用必 初回　月額賃料60％,,巡回管理,2025-09-03 11:05:26
1436,0120-905401,7.8万円,6690円,-,-,-,-,大阪府大阪市淀川区木川東１,"阪急神戸線/十三駅 歩14分
地下鉄御堂筋線/西中島南方駅 歩10分
阪急京都線/南方駅 歩10分",1DK,26.06m2,新築,3階,西,マンション,洋3.2 DK6.2,鉄筋コン,3階/10階建,2026年1月,-,-,-,1万円1年,敷地内19000円,26年1月下旬,仲介,単身者可/ペット相談,23000,100455406358,-,2025/09/02,次回更新日は情報更新日より８日以内,普通借家 2年,全保連利用必 初回：総賃料の60％,,オンライン内覧やWEB契約など、ご来店なしで契約ができます★関西圏のお部屋探しはRoom Heartsまで♪,2025-09-03 11:05:30
1437,06-6373-0505,7.8万円,6690円,-,-,-,-,大阪府大阪市淀川区木川東１,"地下鉄御堂筋線/西中島南方駅 歩11分
阪急京都線/南方駅 歩11分
阪急神戸線/十三駅 歩14分",1DK,26.06m2,新築,4階,西,マンション,洋3.2 DK6.2,鉄筋コン,4階/10階建,2026年1月,-,-,-,1万円1年,-,26年1月下旬,仲介,単身者可/子供不可/ペット相談/事務所利用不可/ルームシェア不可,9961550,100458057708,-,2025/09/02,次回更新日は情報更新日より８日以内,普通借家 2年,全保連利用必 初回保証料：総賃料の60％ 更新料：10.000円/年　引落手数料：330円（税込）,,,2025-09-03 11:06:40
1438,06-6373-0505,7.85万円,6690円,-,-,-,-,大阪府大阪市淀川区木川東１,"地下鉄御堂筋線/西中島南方駅 歩11分
阪急京都線/南方駅 歩11分
阪急神戸線/十三駅 歩14分",1DK,26.06m2,新築,5階,西,マンション,洋3.2 DK6.2,鉄筋コン,5階/10階建,2026年1月,-,-,-,1万円1年,-,26年1月下旬,仲介,単身者可/子供不可/ペット相談/事務所利用不可/ルームシェア不可,9961549,100458057675,-,2025/09/02,次回更新日は情報更新日より８日以内,普通借家 2年,全保連利用必 初回保証料：総賃料の60％ 更新料：10.000円/年　引落手数料：330円（税込）,,,2025-09-03 11:05:42
1439,06-6925-3434,7.85万円,6690円,-,-,-,-,大阪府大阪市淀川区木川東１,"地下鉄御堂筋線/西中島南方駅 歩8分
阪急京都線/南方駅 歩10分
ＪＲおおさか東線/新大阪駅 歩20分",1DK,26.06m2,新築,6階,西,マンション,洋3.2 DK6.2,鉄筋コン,6階/10階建,2026年1月,-,-,-,要,敷地内19000円/平置駐,26年1月下旬,仲介,ペット相談,110866892,100454870329,-,2025/09/02,次回更新日は情報更新日より８日以内,,保証会社利用必 初回保証料６０％　　更新料：１０，０００円／１年毎　引落手数料：３３０円（税込）／月額,,ペットは小型のみ２匹まで可（胸骨端から座骨端まで５０ｃｍ以内）・飼育時賃料：１匹　あたり５００円ＵＰ　保証会社:全保連,2025-09-03 11:05:46
1441,06-6373-0505,7.9万円,6690円,-,-,-,-,大阪府大阪市淀川区木川東１,"地下鉄御堂筋線/西中島南方駅 歩11分
阪急京都線/南方駅 歩11分
阪急神戸線/十三駅 歩14分",1DK,26.06m2,新築,7階,西,マンション,洋3.2 DK6.2,鉄筋コン,7階/10階建,2026年1月,-,-,-,1万円1年,-,26年1月下旬,仲介,単身者可/子供不可/ペット相談/事務所利用不可/ルームシェア不可,9961548,100458057678,-,2025/09/02,次回更新日は情報更新日より８日以内,普通借家 2年,全保連利用必 初回保証料：総賃料の60％ 更新料：10.000円/年　引落手数料：330円（税込）,,,2025-09-03 11:06:52
